"Expiration date is not valid", "Data de validade inválida"
"Cardholder name is not valid", "O nome do titular do cartão não é válido"
Se a configuração"==================== CREDENTIALS CONFIGURATION PAGE =====================","================================================"
"Credentials","Credenciais"
"Get your credentials terminal_code and terminal_password, visit the country in which your account was created: <a href=""https://www.unlimit.com/mla/account/credentials"" target=""_blank"">Argentina</a>, <a href=""https://www.unlimit.com/mlb/account/credentials"" target=""_blank"">Brazil</a>, <a href=""https://www.unlimit.com/mlc/account/credentials"" target=""_blank"">Chile</a>, <a href=""https://www.unlimit.com/mco/account/credentials"" target=""_blank"">Colombia</a>, <a href=""https://www.unlimit.com/mlm/account/credentials"" target=""_blank"">Mexico</a>, <a href=""https://www.unlimit.com/mlu/account/credentials"" target=""_blank"">Uruguay</a> and <a href=""https://www.unlimit.com/mpe/account/credentials"" target=""_blank"">Peru</a>.","Obtenha as credenciais access_token e public_key do Cardpay, acessando o link de acordo com o país onde a sua conta foi criada: <a href="https://www.unlimit.com/mla/account/credentials" target="_blank">Argentina</a>, <a href="https://www.unlimit.com/mlb/account/credentials" target="_blank">Brazil</a>, <a href="https://www.unlimit.com/mlc/account/credentials" target="_blank">Chile</a>, <a href="https://www.unlimit.com/mco/account/credentials" target="_blank">Colombia</a>, <a href="https://www.unlimit.com/mlm/account/credentials" target="_blank">Mexico</a>, <a href="https://www.unlimit.com/mlu/account/credentials" target="_blank">Uruguay</a> ou <a href="https://www.unlimit.com/mpe/account/credentials" target="_blank">Peru</a>."
"==================== ORDER MANAGEMENT CONFIGURATION PAGE =====================","================================================"
"Order management","Gerenciamento de orden"
"Order status when payment is approved","Status do pedido quando o status do pagamento é approved"
"Order status when payment is in_process","Status do pedido quando o status do pagamento é in_process"
"Order status when payment is pending","Status do pedido quando o status do pagamento é pending"
"Order status when payment is rejected","Status do pedido quando o status do pagamento é rejected"
"Order status when payment is canceled","Status do pedido quando o status do pagamento é canceled"
"Order status when payment is chargeback","Status do pedido quando o status do pagamento é chargeback"
"Order status when payment is in_mediation","Status do pedido quando o status do pagamento é in_mediation"
"Order status when payment is refunded","Status do pedido quando o status do pagamento é refunded"
"Order status when payment is partually refunded","Status do pedido quando o status do pagamento é partially_refunded"
"Refund payment","Pagamento de reembolso"
"Enable payment refund when a Credit Memo is created, the refund will occur if the payment is Approved.","Habilita a devolução de pagamentos quando é criado uma Credit Memo. A devolução ocorrerá se o status do pagamento for aprovado."
"Cancel payment","Cancelar pagamento"

"==================== CUSTOM CHECKOUT CONFIGURATION PAGE =====================","================================================"
"Custom Checkout - Credit and Debit Card","Custom Checkout - Cartão de Crédito"
"Enabled","Habilitado"
"It is a requirement that you have a SSL certificate, and the payment form to be provided under an HTTPS page. During the sandbox mode tests, you can operate over HTTP, but for homologation you'll need to acquire the certificate in case you don't have it.","É um requisito que tenha um certificado SSL e que o formulário de pagamentos esteja sobre uma página HTTPS. Durante os testes em modo sandbox o ambiente poderá ser HTTP, mas para a homologação, deverá adquirir o certificado."
"Payment title","Nome do tipo de pagamento"
"Statement descriptor","Identificação na fatura."
"Text that will identify the payment on the credit card invoice, this functionality is limited to some countries.","Texto que identificará o pagamento na fatura do cartão de crédito, essa funcionalidade não está disponível en todos os países."
"Binary Mode","Modo binario"
"This functionality will mark the payment to approve or reject at the time it is created, there will be no intermediate status pending.","Esse modo de processamento terá apenas pagamentos com status aprovados ou rejeitados. Não existirá status intermediarios como in_proccess ou pending."
"Banner Checkout","Banner Checkout"
"Checkout position","Posição do método de pagamento no checkout"
"By default the module of Unlimit will configure a banner with the methods available according to your country, in case you want to customize it simply change the url of the image.","Por padrão, o módulo do Unlimit irá configurar um banner com os métodos disponíveis de acordo com o seu país, se você quiser personalizá-lo, basta alterar o URL da imagem."

"==================== CUSTOM CHECKOUT OFFLINE CONFIGURATION PAGE =====================","================================================"
"Custom Checkout - Offline Payments Methods (Ticket)","Custom Checkout - Métodos de Pagamento Offline (Boleto e PEC)"
"Enabled","Habilitado"
"Banner Checkout","Banner Checkout"
"Exclude Payment Methods","Excluir métodos de pagamento"
"Select the payment methods you do NOT want to accept.","Selecione os métodos de pagamento que você NÃO deseja aceitar."
"Checkout position","Posição do método de pagamento no checkout"
"This setting will be the position in which the payment method will be available to the buyer.","Essa configuração é a posição na qual o método de pagamento estará disponível para o comprador."
"By default the module of Unlimit will configure a banner with the methods available according to your country, in case you want to customize it simply change the url of the image.","Por padrão, o módulo do Unlimit irá configurar um banner com os métodos disponíveis de acordo com o seu país, se você quiser personalizá-lo, basta alterar o URL da imagem."

"==================== v3.1.0 CUSTOM CHECKOUT BANK TRANSFER PAGE =====================","================================================"
"Custom Checkout - Bank Transfer","Custom Checkout - Transferência Bancária"
"Enabled","Habilitado"
"Checkout position","Posição do método de pagamento no checkout"
"Redirect Payer","Redirecionar Comprador"
"By enabling this option the buyer will be automatically redirected to the payment page of the bank, it will not go through an intermediate page of your store.","Ao habilitar essa opção o comprador será redirecionado automaticamente para a pagina de pagamento do banco, ele não irá passar por uma pagina intermedia da sua loja."

"==================== v3.3.1 Basic Checkout PAGE =====================","================================================"
"Basic Checkout","Checkout Básico - Redirecionado"
"Redirect buyer automatically to your store when payment is approved.","Redireciona o comprador automaticamente para a sua loja quando o pagamento é aprovado."
"Max Installments","Numero máximo de parcelas aceitas"
"Maximum number of installments accept the payment flow.","Numero máximo de parcelas aceitas no fluxo de pagamento."
"Expiration Time Preference","Tempo de Expiração do link do checkout"
"Time in days to expiration preference.","Quantidade de dias para expirar o link do checkout."

"==================== ADVANCED CONFIGURATION PAGE =====================","================================================"
"Advanced","Avançado"
"Store Settings","Configurações da Loja"
"Category of your store","Categoría da sua Loja"
"Use Unlimit Success Page","Utilizar página de resultado de pago de Unlimit"
"The successful page of the Unlimit module is prepared to show messages for each Payment status, this page is also prepared to show the payment button with ticket. If you use the default page of Magento, you will have to customize it to show the button for payment of the Ticket.","A página de sucesso de pagamento do Unlimit está preparada para mostrar mensagens para cada status de pagamento. Essa página também está preparada para mostrar o botão de pagamento para métodos de pagamento offline. Se você usar a página do Magento, você terá que personalizar a página para mostrar o botão de pagamento dos meios de pagamento offline."
